"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Liberty County, Georgia!!Total!!Estimate","Liberty County, Georgia!!Total!!Margin of Error","Liberty County, Georgia!!Below poverty level!!Estimate","Liberty County, Georgia!!Below poverty level!!Margin of Error","Liberty County, Georgia!!Percent below poverty level!!Estimate","Liberty County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"    One race","295,329,421","±96,195","46,644,532","±232,566","15.8%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","225,678,820","±110,100","29,260,632","±185,461","13.0%","±0.1","5,831,345","±20,465","816,035","±34,003","14.0%","±0.6","56,975","±1,911","8,397","±3,219","14.7%","±5.6","85,170","±1,618","16,763","±4,066","19.7%","±4.6","65,205","±1,710","8,417","±2,011","12.9%","±3.0","44,753","±1,467","12,892","±2,439","28.8%","±5.0","84,537","±1,125","13,521","±2,822","16.0%","±3.3","143,322","±3,208","22,540","±5,009","15.7%","±3.4","186,616","±3,648","14,336","±3,740","7.7%","±2.0","71,025","±2,065","27,073","±3,360","38.1%","±4.3","59,261","±5,000","15,001","±4,103","25.3%","±7.0","436,531","±7,760","36,870","±7,115","8.4%","±1.6","96,746","±1,534","4,908","±2,265","5.1%","±2.4","101,472","±1,044","12,424","±5,691","12.2%","±5.6","240,903","±5,358","32,082","±6,080","13.3%","±2.4","28,038","±1,078","4,749","±1,769","16.9%","±6.1","72,831","±1,986","10,523","±3,791","14.4%","±5.2","77,562","±1,308","8,844","±3,078","11.4%","±3.9","72,219","±1,849","12,725","±3,277","17.6%","±4.4","154,884","±4,908","15,197","±6,272","9.8%","±4.0","433,549","±5,846","45,563","±7,092","10.5%","±1.6","53,212","±1,397","5,894","±1,839","11.1%","±3.4","422,561","±9,815","44,046","±8,989","10.4%","±2.0","154,571","±3,327","27,491","±5,382","17.8%","±3.4","115,577","±2,686","21,233","±7,268","18.4%","±6.2","87,688","±1,408","9,379","±3,117","10.7%","±3.6","31,391","±1,514","2,994","±1,586","9.5%","±5.0","63,615","±1,014","10,349","±2,130","16.3%","±3.3","81,449","±1,925","8,772","±1,753","10.8%","±2.1","55,925","±797","8,401","±3,591","15.0%","±6.4","113,558","±1,150","14,640","±5,584","12.9%","±4.9","75,634","±1,731","13,136","±2,878","17.4%","±3.8","37,939","±1,946","3,171","±1,603","8.4%","±4.2","40,733","±932","6,588","±1,574","16.2%","±3.9","62,576","±661","10,090","±2,596","16.1%","±4.2","65,828","±1,018","5,425","±2,342","8.2%","±3.6","87,672","±2,791","14,428","±3,277","16.5%","±3.7"
"        Black or African American","37,510,171","±54,242","10,543,367","±89,715","28.1%","±0.2","2,906,723","±15,377","810,179","±25,505","27.9%","±0.9","8,448","±1,486","4,023","±1,951","47.6%","±18.5","9,678","±1,306","3,603","±1,865","37.2%","±20.4","76,229","±2,486","27,446","±3,322","36.0%","±4.3","18,671","±1,112","7,958","±2,778","42.6%","±15.1","19,183","±1,634","5,339","±2,342","27.8%","±12.1","101,830","±2,264","27,276","±4,609","26.8%","±4.5","N","N","N","N","N","N","28,454","±1,294","11,911","±1,786","41.9%","±6.1","171,063","±4,014","41,586","±7,431","24.3%","±4.1","174,917","±3,773","39,514","±7,008","22.6%","±4.0","20,423","±1,209","2,253","±1,188","11.0%","±6.0","23,025","±1,084","10,114","±3,118","43.9%","±12.4","364,039","±4,924","79,185","±9,631","21.8%","±2.6","62,453","±1,171","20,906","±3,164","33.5%","±5.0","49,663","±2,812","9,488","±3,338","19.1%","±6.7","21,465","±875","1,918","±1,551","8.9%","±7.2","12,762","±962","3,144","±1,226","24.6%","±9.5","N","N","N","N","N","N","406,990","±3,693","112,391","±10,589","27.6%","±2.6","20,934","±780","7,247","±2,601","34.6%","±12.5","197,729","±6,568","30,739","±7,228","15.5%","±3.6","14,737","±683","3,126","±1,664","21.2%","±11.3","74,724","±2,571","12,146","±6,268","16.3%","±8.2","41,167","±1,124","9,503","±3,470","23.1%","±8.4","25,822","±1,184","7,157","±2,588","27.7%","±9.8","38,410","±1,043","16,328","±3,644","42.5%","±9.4","82,948","±2,097","21,765","±3,646","26.2%","±4.3","40,557","±1,462","12,260","±5,013","30.2%","±12.1","27,067","±1,555","7,401","±4,509","27.3%","±16.5","105,780","±2,390","29,614","±4,752","28.0%","±4.4","40,517","±766","6,522","±2,582","16.1%","±6.4","22,480","±518","7,531","±1,926","33.5%","±8.5","N","N","N","N","N","N","13,176","±2,801","6,469","±3,234","49.1%","±19.5","N","N","N","N","N","N"
"        American Indian and Alaska Native","2,458,045","±33,459","724,528","±20,286","29.5%","±0.8","23,693","±4,465","6,564","±2,049","27.7%","±7.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","14,728,302","±36,874","1,888,398","±42,525","12.8%","±0.3","316,031","±7,761","40,163","±5,964","12.7%","±1.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,589","±841","2,504","±1,454","38.0%","±20.8","N","N","N","N","N","N","N","N","N","N","N","N","12,656","±852","1,207","±641","9.5%","±5.2","30,521","±1,969","1,645","±1,198","5.4%","±3.9","N","N","N","N","N","N","N","N","N","N","N","N","34,586","±1,082","7,347","±2,428","21.2%","±7.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","51,478","±1,678","7,758","±3,737","15.1%","±7.1","N","N","N","N","N","N","86,233","±2,917","8,434","±3,403","9.8%","±4.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander","491,826","±13,604","105,739","±9,778","21.5%","±1.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race","14,462,257","±108,053","4,121,868","±75,797","28.5%","±0.5","282,081","±19,468","111,677","±13,749","39.6%","±4.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,876","±3,457","5,165","±3,032","65.6%","±19.5","27,612","±7,964","6,100","±3,059","22.1%","±9.7","N","N","N","N","N","N","N","N","N","N","N","N","25,590","±5,523","7,162","±3,235","28.0%","±11.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","12,843","±4,640","5,775","±3,328","45.0%","±18.5","N","N","N","N","N","N","83,894","±10,560","39,829","±10,287","47.5%","±9.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","8,448,772","±94,333","1,807,503","±41,599","21.4%","±0.4","185,237","±12,491","40,850","±7,099","22.1%","±3.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","14,427","±3,751","2,828","±2,073","19.6%","±12.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,896","±2,991","2,998","±1,594","21.6%","±9.6","N","N","N","N","N","N","25,058","±6,478","5,471","±4,089","21.8%","±13.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,461","±1,667","1,850","±840","24.8%","±10.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Hispanic or Latino origin (of any race)","50,893,007","±19,661","13,126,374","±114,607","25.8%","±0.2","859,310","±3,462","288,826","±19,593","33.6%","±2.3","6,576","±1,153","3,108","±2,214","47.3%","±30.4","N","N","N","N","N","N","4,589","±178","2,208","±1,177","48.1%","±25.5","N","N","N","N","N","N","6,994","±111","3,381","±1,271","48.3%","±18.2","15,267","±197","8,659","±2,308","56.7%","±15.1","21,526","±175","6,251","±3,080","29.0%","±14.3","11,873","±282","4,918","±1,866","41.4%","±15.6","34,694","±774","17,652","±5,092","50.9%","±14.7","86,561","±646","18,302","±4,635","21.1%","±5.4","N","N","N","N","N","N","N","N","N","N","N","N","67,745","±410","20,957","±5,029","30.9%","±7.4","N","N","N","N","N","N","N","N","N","N","N","N","7,027","±43","2,614","±1,363","37.2%","±19.4","9,284","±53","4,169","±1,791","44.9%","±19.3","N","N","N","N","N","N","74,361","±708","20,880","±5,060","28.1%","±6.8","N","N","N","N","N","N","168,367","±401","65,478","±9,574","38.9%","±5.7","48,383","±542","13,770","±4,361","28.5%","±9.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,585","±191","2,180","±1,058","39.0%","±18.9","11,660","±389","2,883","±1,637","24.7%","±13.7","N","N","N","N","N","N","N","N","N","N","N","N","8,242","±208","2,829","±1,002","34.3%","±12.0","8,454","±140","2,029","±939","24.0%","±11.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","33,181","±171","7,104","±2,402","21.4%","±7.2"
"White alone, not Hispanic or Latino","192,557,395","±30,976","21,122,952","±147,999","11.0%","±0.1","5,322,786","±5,363","666,632","±25,633","12.5%","±0.5","51,933","±2,265","5,350","±2,676","10.3%","±5.1","78,779","±378","12,114","±3,391","15.4%","±4.3","61,658","±1,090","6,378","±1,569","10.3%","±2.5","43,278","±1,161","12,252","±2,145","28.3%","±4.8","78,533","±660","10,759","±2,313","13.7%","±3.0","131,904","±1,464","16,817","±4,091","12.7%","±3.1","174,634","±736","11,596","±3,222","6.6%","±1.8","60,688","±1,442","22,821","±2,538","37.6%","±3.9","38,598","±1,137","6,624","±1,818","17.2%","±4.8","382,515","±2,093","28,161","±5,655","7.4%","±1.5","92,876","±504","4,812","±2,239","5.2%","±2.4","93,101","±473","9,080","±4,552","9.8%","±4.9","205,807","±1,143","20,592","±4,016","10.0%","±1.9","26,749","±447","3,897","±1,531","14.6%","±5.7","64,425","±554","8,862","±3,393","13.8%","±5.2","72,141","±272","6,462","±2,564","9.0%","±3.5","65,881","±1,480","10,040","±2,742","15.2%","±4.1","143,630","±423","11,465","±4,637","8.0%","±3.2","378,488","±1,736","32,836","±4,832","8.7%","±1.3","51,458","±347","5,302","±1,907","10.3%","±3.7","354,038","±1,373","24,898","±5,768","7.0%","±1.6","112,975","±498","14,415","±3,436","12.8%","±3.0","106,841","±539","18,226","±6,843","17.1%","±6.4","85,765","±567","9,379","±3,117","10.9%","±3.6","27,011","±505","2,827","±1,573","10.5%","±5.8","60,285","±492","9,182","±2,022","15.2%","±3.3","77,586","±1,317","7,671","±1,442","9.9%","±1.9","51,424","±668","5,926","±2,675","11.5%","±5.2","106,499","±424","11,425","±5,131","10.7%","±4.8","71,654","±958","11,264","±2,700","15.7%","±3.8","34,454","±512","2,991","±1,570","8.7%","±4.5","39,744","±352","6,532","±1,573","16.4%","±4.0","62,260","±605","10,027","±2,588","16.1%","±4.2","65,040","±616","5,376","±2,352","8.3%","±3.6","62,270","±617","8,933","±2,471","14.3%","±4.0"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","202,893,965","±68,110","24,702,566","±103,402","12.2%","±0.1","6,181,076","±10,765","908,147","±22,703","14.7%","±0.4","45,175","±1,555","6,238","±1,903","13.8%","±4.3","62,873","±1,275","8,453","±1,985","13.4%","±3.1","96,637","±1,402","20,513","±2,507","21.2%","±2.6","35,952","±940","6,360","±1,386","17.7%","±3.8","66,671","±848","10,026","±2,001","15.0%","±3.0","171,801","±1,259","24,638","±4,303","14.3%","±2.5","141,218","±1,772","12,146","±2,687","8.6%","±1.9","59,141","±1,115","13,931","±2,107","23.6%","±3.5","154,680","±1,392","29,699","±4,123","19.2%","±2.6","454,669","±1,144","44,219","±5,578","9.7%","±1.2","82,939","±1,242","4,480","±2,076","5.4%","±2.5","84,784","±1,879","9,347","±2,832","11.0%","±3.3","455,537","±1,535","66,903","±6,771","14.7%","±1.5","57,732","±1,129","13,886","±1,756","24.1%","±3.0","81,803","±1,613","12,245","±2,740","15.0%","±3.4","71,836","±922","6,276","±1,853","8.7%","±2.6","61,661","±1,140","10,414","±2,150","16.9%","±3.5","110,431","±2,232","9,885","±3,172","9.0%","±2.9","615,066","±1,448","89,374","±6,904","14.5%","±1.1","52,924","±1,031","6,278","±1,572","11.9%","±3.0","513,310","±704","63,502","±6,784","12.4%","±1.3","114,481","±1,293","16,275","±2,799","14.2%","±2.4","127,997","±2,200","15,578","±5,022","12.2%","±3.9","90,071","±1,115","9,591","±2,603","10.6%","±2.9","36,098","±674","3,414","±1,095","9.5%","±3.1","61,611","±1,131","11,479","±1,988","18.6%","±3.1","117,001","±1,597","16,645","±2,003","14.2%","±1.7","63,046","±1,087","12,283","±3,641","19.5%","±5.7","88,256","±1,423","11,238","±3,462","12.7%","±3.9","123,907","±1,242","22,364","±3,371","18.0%","±2.7","55,321","±906","6,229","±1,730","11.3%","±3.1","42,304","±724","7,112","±1,135","16.8%","±2.6","46,534","±719","6,459","±1,563","13.9%","±3.3","55,364","±1,191","5,997","±2,062","10.8%","±3.8","63,447","±769","9,052","±1,932","14.3%","±3.0"
