"","HSI #","Site Name","Lattitude","Longitude","Address","City","County","year_site","Class","Site Summary","Investigation/ Cleanup Funding","Icon","year","rate","population","prev_rate","rate_diff","percent_different","year_to_site"
"22",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2012,0,6504,0,0,NA,-5
"23",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2013,0,6523,0,0,NA,-6
"24",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2014,0,6463,0,0,NA,-7
"25",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2016,0,6324,0,0,NA,-9
"26",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2017,0,6455,0,0,NA,-10
"27",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2018,0,6352,0,0,NA,-11
"28",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2019,0,6189,0,0,NA,-12
"29",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2020,0,6231,0,0,NA,-13
"30",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2021,0,5509,0,0,NA,-14
"31",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2000,10.4,43824,0,10.4,Inf,1
"32",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2001,6.4,44469,10.4,-4,-38.4615384615385,0
"33",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2003,6.5,44568,6.4,0.0999999999999996,1.56249999999999,-2
"34",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2004,7,46096,6.5,0.5,7.69230769230769,-3
"35",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2006,6.3,47086,7,-0.7,-10,-5
"36",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2007,6.7,48947,6.3,0.4,6.34920634920635,-6
"37",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2011,6.3,50410,6.7,-0.4,-5.97014925373135,-10
"38",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2012,7.1,51402,6.3,0.8,12.6984126984127,-11
"39",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2013,7.3,51476,7.1,0.2,2.81690140845071,-12
"40",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2014,7.9,52027,7.3,0.600000000000001,8.21917808219179,-13
"41",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2016,7.7,53008,7.9,-0.2,-2.53164556962026,-15
"42",10647,"Camden County Vacuna Road LF",30.7811111111111,-81.69,"Vacuna Road","Kingsland","Camden",2001,"IV","https://epd.georgia.gov/document/pdf/23-10647/download","L","small_green ",2017,6.2,53044,7.7,-1.5,-19.4805194805195,-16
"43",10711,"Candler County S.R. 121 Metter # 021-001D(SL)",32.4555555555556,-82.0647222222222,"842 Landfill Road","Metter","Candler",2001,"IV","https://epd.georgia.gov/document/pdf/23-10711/download","L","small_green ",2003,0,9937,6.2,-6.2,-100,-2
"44",10711,"Candler County S.R. 121 Metter # 021-001D(SL)",32.4555555555556,-82.0647222222222,"842 Landfill Road","Metter","Candler",2001,"IV","https://epd.georgia.gov/document/pdf/23-10711/download","L","small_green ",2009,0,10880,0,0,NA,-8
"45",10711,"Candler County S.R. 121 Metter # 021-001D(SL)",32.4555555555556,-82.0647222222222,"842 Landfill Road","Metter","Candler",2001,"IV","https://epd.georgia.gov/document/pdf/23-10711/download","L","small_green ",2016,0,10910,0,0,NA,-15
"46",10711,"Candler County S.R. 121 Metter # 021-001D(SL)",32.4555555555556,-82.0647222222222,"842 Landfill Road","Metter","Candler",2001,"IV","https://epd.georgia.gov/document/pdf/23-10711/download","L","small_green ",2017,0,10797,0,0,NA,-16
"47",10711,"Candler County S.R. 121 Metter # 021-001D(SL)",32.4555555555556,-82.0647222222222,"842 Landfill Road","Metter","Candler",2001,"IV","https://epd.georgia.gov/document/pdf/23-10711/download","L","small_green ",2022,0,11000,0,0,NA,-21
"48",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",1999,7.9,85082,0,7.9,Inf,2
"49",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2000,8.1,87932,7.9,0.199999999999999,2.53164556962024,1
"50",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2001,6.1,91132,8.1,-2,-24.6913580246914,0
"51",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2002,8.8,94087,6.1,2.7,44.2622950819672,-1
"52",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2003,6.8,97396,8.8,-2,-22.7272727272727,-2
"53",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2004,5.4,99774,6.8,-1.4,-20.5882352941176,-3
"54",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2005,8.2,102526,5.4,2.8,51.8518518518518,-4
"55",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2006,7.1,105853,8.2,-1.1,-13.4146341463415,-5
"56",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2007,7,108947,7.1,-0.0999999999999996,-1.40845070422535,-6
"57",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2008,5.2,110242,7,-1.8,-25.7142857142857,-7
"58",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2009,5.5,110433,5.2,0.3,5.76923076923077,-8
"59",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2010,6.5,110661,5.5,1,18.1818181818182,-9
"60",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2011,7.3,111159,6.5,0.8,12.3076923076923,-10
"61",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2012,4.9,111580,7.3,-2.4,-32.8767123287671,-11
"62",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2014,8.7,114093,4.9,3.8,77.5510204081632,-13
"63",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2015,5.5,114545,8.7,-3.2,-36.7816091954023,-14
"64",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2016,4.5,116261,5.5,-1,-18.1818181818182,-15
"65",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2017,9.2,117812,4.5,4.7,104.444444444444,-16
"66",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2018,8.2,118121,9.2,-1,-10.8695652173913,-17
"67",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2019,5.2,119992,8.2,-3,-36.5853658536585,-18
"68",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2020,7.1,121633,5.2,1.9,36.5384615384615,-19
"69",10648,"Carroll County / Carrollton SR 166 LF",33.5511111111111,-85.1536111111111,"State Road 166 (Simonton Mill Road)","Carrollton","Carroll",2001,"IV","https://epd.georgia.gov/document/pdf/23-10648/download","L","small_green ",2021,8,121968,7.1,0.9,12.6760563380282,-20
"70",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",1999,7.3,231630,8,-0.7,-8.75,2
"71",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",1999,7.3,231630,7.3,0,0,5
"72",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2000,7.2,232492,7.3,-0.0999999999999996,-1.36986301369863,1
"73",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2000,7.2,232492,7.2,0,0,4
"74",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2001,11.1,234150,7.2,3.9,54.1666666666667,0
"75",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2001,11.1,234150,11.1,0,0,3
"76",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2002,10.6,236510,11.1,-0.5,-4.5045045045045,-1
"77",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2002,10.6,236510,10.6,0,0,2
"78",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2003,11.6,237348,10.6,1,9.43396226415094,-2
"79",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2003,11.6,237348,11.6,0,0,1
"80",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2004,9.9,240818,11.6,-1.7,-14.6551724137931,-3
"81",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2004,9.9,240818,9.9,0,0,0
"82",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2005,11.6,242241,9.9,1.7,17.1717171717172,-4
"83",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2005,11.6,242241,11.6,0,0,-1
"84",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2006,13.1,246896,11.6,1.5,12.9310344827586,-5
"85",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2006,13.1,246896,13.1,0,0,-2
"86",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2007,8.7,251981,13.1,-4.4,-33.587786259542,-6
"87",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2007,8.7,251981,8.7,0,0,-3
"88",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2008,8.3,255269,8.7,-0.399999999999999,-4.59770114942527,-7
"89",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2008,8.3,255269,8.3,0,0,-4
"90",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2009,7.6,262122,8.3,-0.700000000000001,-8.43373493975905,-8
"91",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2009,7.6,262122,7.6,0,0,-5
"92",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2010,8.5,265871,7.6,0.9,11.8421052631579,-9
"93",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2010,8.5,265871,8.5,0,0,-6
"94",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2011,7.1,271544,8.5,-1.4,-16.4705882352941,-10
"95",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2011,7.1,271544,7.1,0,0,-7
"96",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2012,5.7,276434,7.1,-1.4,-19.7183098591549,-11
"97",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2012,5.7,276434,5.7,0,0,-8
"98",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2013,8.3,278434,5.7,2.6,45.6140350877193,-12
"99",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2013,8.3,278434,8.3,0,0,-9
"100",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2014,7.5,283379,8.3,-0.800000000000001,-9.63855421686748,-13
"101",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2014,7.5,283379,7.5,0,0,-10
"102",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2015,9,286956,7.5,1.5,20,-14
"103",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2015,9,286956,9,0,0,-11
"104",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2016,7.4,289082,9,-1.6,-17.7777777777778,-15
"105",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2016,7.4,289082,7.4,0,0,-12
"106",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2017,9.5,290501,7.4,2.1,28.3783783783784,-16
"107",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2017,9.5,290501,9.5,0,0,-13
"108",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2018,5.4,289195,9.5,-4.1,-43.1578947368421,-17
"109",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2018,5.4,289195,5.4,0,0,-14
"110",10649,"Chatham County Landfill",32.0580555555556,-81.2147222222222,"1327 Dean Forest Road","Savannah","Chatham",2001,"IV","https://epd.georgia.gov/document/pdf/23-10649/download","L","small_green ",2019,7.4,289430,5.4,2,37.037037037037,-18
"111",10789,"Dry Clean, USA",31.9816666666667,-81.1480555555556,"11434 Abercorn Street","Savannah","Chatham",2004,"I","https://epd.georgia.gov/document/pdf/23-10789/download","A","small_yellow",2019,7.4,289430,7.4,0,0,-15
